              time_d	                  pH	         Olivine_mol	       Magnesite_mol	        Siderite_mol	      CHalcedony_mol	         Fe(OH)3_mol	        Mg_molkgx1e5	        Fe_molkgx1e5	        Si_molkgx1e5	         C_molkgx1e5	      HCO3_molkgx1e5	    MgHCO3_molkgx1e5	    FeHCO3_molkgx1e5	       CO3_molkgx1e5	     CO2aq_molkgx1e5	
  0.000000000000e+00	  5.500000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	
  1.000000000000e+00	  7.658835800707e+00	  1.998442953997e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.000272210266e+01	  1.111413566962e+00	  5.557067834809e+00	  2.275400960647e+01	  2.162271485136e+01	  2.344767455135e-02	  2.115329646514e-02	  5.116751632459e-02	  1.020223971294e+00	
  2.000000000000e+00	  7.870168637878e+00	  1.994562434915e-02	  0.000000000000e+00	  6.773396183064e-06	  0.000000000000e+00	  0.000000000000e+00	  1.698772873324e+01	  1.210181347486e+00	  9.437627074023e+00	  3.667890140594e+01	  3.537238548550e+01	  6.358095584421e-02	  3.556914053911e-02	  1.384684006233e-01	  1.020191258595e+00	
  3.000000000000e+00	  7.989545356817e+00	  1.991022993731e-02	  0.000000000000e+00	  1.862706403573e-05	  0.000000000000e+00	  0.000000000000e+00	  2.335881837353e+01	  7.327013461172e-01	  1.297712131865e+01	  4.821856049775e+01	  4.674033210020e+01	  1.135738476288e-01	  2.712595439221e-02	  2.436192787578e-01	  1.020163921138e+00	
  4.000000000000e+00	  8.080106295663e+00	  1.987686500285e-02	  0.000000000000e+00	  2.756477492401e-05	  0.000000000000e+00	  0.000000000000e+00	  2.936462421064e+01	  5.062280486247e-01	  1.631368011705e+01	  5.946761493082e+01	  5.776485698398e+01	  1.738397146287e-01	  2.209383244834e-02	  3.745259428527e-01	  1.020137191282e+00	
  5.000000000000e+00	  8.152101191581e+00	  1.984493017296e-02	  0.000000000000e+00	  3.520790168218e-05	  0.000000000000e+00	  0.000000000000e+00	  3.511303101135e+01	  3.806113821289e-01	  1.950723945078e+01	  7.034818466851e+01	  6.837378220877e+01	  2.427927652568e-01	  1.877333425424e-02	  5.277157595166e-01	  1.020111261206e+00	
  6.000000000000e+00	  8.211518716965e+00	  1.981407046160e-02	  0.000000000000e+00	  4.215659431701e-05	  0.000000000000e+00	  0.000000000000e+00	  4.066793468616e+01	  3.029359381464e-01	  2.259329704789e+01	  8.088620028246e+01	  7.859644579358e+01	  3.193512510934e-01	  1.641543329654e-02	  7.008457276759e-01	  1.020086079247e+00	
  7.000000000000e+00	  8.261948297612e+00	  1.978405819324e-02	  0.000000000000e+00	  4.867777508333e-05	  0.000000000000e+00	  0.000000000000e+00	  4.607031567561e+01	  2.510629344862e-01	  2.559461981981e+01	  9.112209596893e+01	  8.847561673806e+01	  4.027116405729e-01	  1.465025591302e-02	  8.921751458218e-01	  1.020061558401e+00	
  8.000000000000e+00	  8.305665090829e+00	  1.975473759983e-02	  0.000000000000e+00	  5.490848127096e-05	  0.000000000000e+00	  0.000000000000e+00	  5.134821132639e+01	  2.144039653899e-01	  2.852678407025e+01	  1.010928924785e+02	  9.805009666453e+01	  4.922392953934e-01	  1.327596811058e-02	  1.100318022921e+00	  1.020037618444e+00	
  9.000000000000e+00	  8.344280343605e+00	  1.972599681820e-02	  0.000000000000e+00	  6.092774275857e-05	  7.029285945031e-06	  0.000000000000e+00	  5.652174219212e+01	  1.872932352774e-01	  3.069802474572e+01	  1.108529874132e+02	  1.073748625561e+02	  5.875315329293e-01	  1.217080615113e-02	  1.324676528709e+00	  1.020014193552e+00	
