              time_d	                  pH	             Olivine	           Enstatite	           Lizardite	           Magnesite	            Siderite	          Chalcedony	       Rhodochrosite	             Fe(OH)3	            Dolomite	                  Mg	                  Fe	                  Si	                   C	                HCO3	              MgHCO3	              FeHCO3	                 CO3	               CO2aq	
  0.000000000000e+00	  5.500000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	
  1.000000000000e+00	  8.356659705317e+00	  2.001138449037e-02	  3.215965716130e-02	  4.488760649863e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.991683232315e-06	  6.730317209836e-06	  1.909559198862e-03	  3.187753756104e+01	  3.589534625123e-03	  3.408857324320e+00	  1.141949708724e+02	  1.105309802464e+02	  3.402072477943e-01	  8.262984712491e-11	  1.404985023806e+00	  1.020008425134e+00	
  2.000000000000e+00	  8.358786380989e+00	  1.998281448236e-02	  3.215931435608e-02	  4.488521633405e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  5.376774109140e-06	  1.348605692751e-05	  1.936877448031e-03	  3.496982815684e+01	  3.592441349252e-03	  6.812499251351e+00	  1.147812265113e+02	  1.110880898235e+02	  3.748447392427e-01	  8.223745526820e-11	  1.419558237157e+00	  1.020006767474e+00	
  3.000000000000e+00	  8.362435847336e+00	  1.995430859004e-02	  3.215897161635e-02	  4.488283285152e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  8.759160432197e-06	  2.022626316645e-05	  1.963008993655e-03	  3.816751030090e+01	  3.597463244261e-03	  1.020838921320e+01	  1.157928809875e+02	  1.120490321515e+02	  4.122193922047e-01	  8.156713437849e-11	  1.444833570151e+00	  1.020004099682e+00	
  4.000000000000e+00	  8.367645578768e+00	  1.992588608311e-02	  3.215862897526e-02	  4.488045950410e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.213610294618e-05	  2.694569123525e-05	  1.987870031840e-03	  4.147459308121e+01	  3.604724016663e-03	  1.359390328017e+01	  1.172521402358e+02	  1.134343643779e+02	  4.527951943884e-01	  8.061901339331e-11	  1.481650381278e+00	  1.020000366017e+00	
  5.000000000000e+00	  8.374464613069e+00	  1.989756642850e-02	  3.215828646630e-02	  4.487809975815e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.550477274163e-05	  3.363905107234e-05	  2.011351131920e-03	  4.489760937623e+01	  3.614399343457e-03	  1.696639508036e+01	  1.191905131629e+02	  1.152730876444e+02	  4.971371843171e-01	  7.939430111423e-11	  1.531236276460e+00	  1.019995488485e+00	
  6.000000000000e+00	  8.382945117550e+00	  1.986936927387e-02	  3.215794412322e-02	  4.487575707762e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.886222762676e-05	  4.030101691958e-05	  2.033320302798e-03	  4.844531631920e+01	  3.626710909499e-03	  2.032320062168e+01	  1.216475402386e+02	  1.176013322144e+02	  5.459179361464e-01	  7.789701462883e-11	  1.595217978412e+00	  1.019989369769e+00	
  7.000000000000e+00	  8.393129260145e+00	  1.984131428925e-02	  3.215760197969e-02	  4.487343488293e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  2.220540135227e-05	  4.692627563503e-05	  2.053629705680e-03	  5.212806327194e+01	  3.641913327523e-03	  2.366166241137e+01	  1.246681799945e+02	  1.204597387537e+02	  5.999136253633e-01	  7.613634891645e-11	  1.675607166766e+00	  1.019981899401e+00	
  8.000000000000e+00	  8.405030645903e+00	  1.981342081318e-02	  3.215726006864e-02	  4.487113647648e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  2.553111903807e-05	  5.350962768644e-05	  2.072127999236e-03	  5.595664047949e+01	  3.660269876653e-03	  2.697917987648e+01	  1.282981462258e+02	  1.238888862744e+02	  6.599807290951e-01	  7.412954523435e-11	  1.774733392173e+00	  1.019972964869e+00	
  9.000000000000e+00	  8.418611423195e+00	  1.978570726142e-02	  3.215691842124e-02	  4.486886492996e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  2.883615625264e-05	  6.004615111759e-05	  2.088679682772e-03	  5.994048059308e+01	  3.682014161241e-03	  3.027329121724e+01	  1.325767420901e+02	  1.279223825700e+02	  7.270037752884e-01	  7.190473404740e-11	  1.895092864699e+00	  1.019962468785e+00	
  1.000000000000e+01	  8.433960928949e+00	  1.975819123392e-02	  3.215657706701e-02	  4.486662308956e-02	  0.000000000000e+00	  0.000000000000e+00	  2.591851991854e-05	  3.211776934869e-05	  6.653117523298e-05	  2.103303301629e-03	  6.407375825469e+01	  3.707627539047e-03	  3.094971811015e+01	  1.375906858560e+02	  1.326386218681e+02	  8.020394975358e-01	  6.946993238478e-11	  2.040925491406e+00	  1.019950457801e+00	
  1.100000000000e+01	  8.434551261030e+00	  1.973079879380e-02	  3.215623588083e-02	  4.486439812385e-02	  5.365345076850e-05	  0.000000000000e+00	  5.842486451580e-05	  3.534610294369e-05	  7.298493601108e-05	  2.103798683927e-03	  6.422771988078e+01	  3.708635244403e-03	  3.095155974056e+01	  1.377874529060e+02	  1.328234556953e+02	  8.049411986835e-01	  6.937796622936e-11	  2.046754005975e+00	  1.019949988762e+00	
  1.200000000000e+01	  8.434551261019e+00	  1.970343248271e-02	  3.215589469822e-02	  4.486217334720e-02	  1.092943202776e-04	  0.000000000000e+00	  9.092310525619e-05	  3.857033725935e-05	  7.943340453963e-05	  2.103798686307e-03	  6.422771988428e+01	  3.708635244385e-03	  3.095155974052e+01	  1.377874529024e+02	  1.328234556919e+02	  8.049411987054e-01	  6.937796623124e-11	  2.046754005871e+00	  1.019949988762e+00	
  1.300000000000e+01	  8.434551261007e+00	  1.967609161423e-02	  3.215555351804e-02	  4.485994864448e-02	  1.648891966211e-04	  0.000000000000e+00	  1.233957506802e-04	  4.179201220849e-05	  8.587675437427e-05	  2.103798688682e-03	  6.422771988777e+01	  3.708635244366e-03	  3.095155974049e+01	  1.377874528989e+02	  1.328234556884e+02	  8.049411987273e-01	  6.937796623313e-11	  2.046754005768e+00	  1.019949988762e+00	
  1.400000000000e+01	  8.434551260996e+00	  1.964877617634e-02	  3.215521234028e-02	  4.485772401567e-02	  2.204381014186e-04	  0.000000000000e+00	  1.558428127995e-04	  4.501112897235e-05	  9.231498791731e-05	  2.103798691050e-03	  6.422771989125e+01	  3.708635244347e-03	  3.095155974046e+01	  1.377874528954e+02	  1.328234556850e+02	  8.049411987491e-01	  6.937796623501e-11	  2.046754005665e+00	  1.019949988762e+00	
  1.500000000000e+01	  8.434551260984e+00	  1.962148615703e-02	  3.215487116494e-02	  4.485549946077e-02	  2.759410562895e-04	  0.000000000000e+00	  1.882643036255e-04	  4.822768879486e-05	  9.874810757102e-05	  2.103798693413e-03	  6.422771989472e+01	  3.708635244329e-03	  3.095155974042e+01	  1.377874528919e+02	  1.328234556816e+02	  8.049411987708e-01	  6.937796623688e-11	  2.046754005562e+00	  1.019949988762e+00	
  1.600000000000e+01	  8.434551260973e+00	  1.959422154430e-02	  3.215452999203e-02	  4.485327497980e-02	  3.313980828527e-04	  0.000000000000e+00	  2.206602351695e-04	  5.144169292584e-05	  1.051761157377e-04	  2.103798695770e-03	  6.422771989819e+01	  3.708635244310e-03	  3.095155974039e+01	  1.377874528884e+02	  1.328234556782e+02	  8.049411987925e-01	  6.937796623875e-11	  2.046754005459e+00	  1.019949988761e+00	
  1.700000000000e+01	  8.434551260961e+00	  1.956698232613e-02	  3.215418882155e-02	  4.485105057273e-02	  3.868092027271e-04	  0.000000000000e+00	  2.530306194425e-04	  5.465314252157e-05	  1.115990148195e-04	  2.103798698121e-03	  6.422771990164e+01	  3.708635244292e-03	  3.095155974035e+01	  1.377874528849e+02	  1.328234556748e+02	  8.049411988141e-01	  6.937796624061e-11	  2.046754005357e+00	  1.019949988761e+00	
  1.800000000000e+01	  8.434551260950e+00	  1.953976849052e-02	  3.215384765349e-02	  4.484882623958e-02	  4.421744375310e-04	  0.000000000000e+00	  2.853754684555e-04	  5.786203876545e-05	  1.180168072186e-04	  2.103798700466e-03	  6.422771990509e+01	  3.708635244274e-03	  3.095155974032e+01	  1.377874528815e+02	  1.328234556714e+02	  8.049411988357e-01	  6.937796624247e-11	  2.046754005255e+00	  1.019949988761e+00	
  1.900000000000e+01	  8.434551260939e+00	  1.951258002546e-02	  3.215350648786e-02	  4.484660198034e-02	  4.974938088825e-04	  0.000000000000e+00	  3.176947942194e-04	  6.106838288241e-05	  1.244294953372e-04	  2.103798702805e-03	  6.422771990853e+01	  3.708635244255e-03	  3.095155974028e+01	  1.377874528780e+02	  1.328234556680e+02	  8.049411988572e-01	  6.937796624433e-11	  2.046754005153e+00	  1.019949988761e+00	
  2.000000000000e+01	  8.434551260927e+00	  1.948541691894e-02	  3.215316532465e-02	  4.484437779501e-02	  5.527673383995e-04	  0.000000000000e+00	  3.499886087445e-04	  6.427217603213e-05	  1.308370815774e-04	  2.103798705138e-03	  6.422771991196e+01	  3.708635244237e-03	  3.095155974025e+01	  1.377874528746e+02	  1.328234556646e+02	  8.049411988787e-01	  6.937796624618e-11	  2.046754005052e+00	  1.019949988761e+00	
  2.100000000000e+01	  8.434551260916e+00	  1.945827915895e-02	  3.215282416387e-02	  4.484215368358e-02	  6.079950476995e-04	  0.000000000000e+00	  3.822569240416e-04	  6.747341945125e-05	  1.372395683413e-04	  2.103798707465e-03	  6.422771991538e+01	  3.708635244219e-03	  3.095155974021e+01	  1.377874528711e+02	  1.328234556613e+02	  8.049411989001e-01	  6.937796624802e-11	  2.046754004951e+00	  1.019949988761e+00	
  2.200000000000e+01	  8.434551260905e+00	  1.943116673349e-02	  3.215248300551e-02	  4.483992964607e-02	  6.631769583997e-04	  0.000000000000e+00	  4.144997521206e-04	  7.067211433971e-05	  1.436369580310e-04	  2.103798709787e-03	  6.422771991879e+01	  3.708635244201e-03	  3.095155974018e+01	  1.377874528677e+02	  1.328234556579e+02	  8.049411989215e-01	  6.937796624986e-11	  2.046754004850e+00	  1.019949988761e+00	
  2.300000000000e+01	  8.434551260894e+00	  1.940407963054e-02	  3.215214184958e-02	  4.483770568245e-02	  7.183130921171e-04	  0.000000000000e+00	  4.467171049919e-04	  7.386826191040e-05	  1.500292530484e-04	  2.103798712102e-03	  6.422771992220e+01	  3.708635244182e-03	  3.095155974014e+01	  1.377874528642e+02	  1.328234556546e+02	  8.049411989428e-01	  6.937796625170e-11	  2.046754004749e+00	  1.019949988761e+00	
  2.400000000000e+01	  8.434551260882e+00	  1.937701783810e-02	  3.215180069608e-02	  4.483548179275e-02	  7.734034704682e-04	  0.000000000000e+00	  4.789089946653e-04	  7.706186333949e-05	  1.564164557955e-04	  2.103798714412e-03	  6.422771992559e+01	  3.708635244164e-03	  3.095155974011e+01	  1.377874528608e+02	  1.328234556512e+02	  8.049411989640e-01	  6.937796625353e-11	  2.046754004649e+00	  1.019949988761e+00	
  2.500000000000e+01	  8.434551260871e+00	  1.934998134417e-02	  3.215145954500e-02	  4.483325797695e-02	  8.284481150694e-04	  0.000000000000e+00	  5.110754331506e-04	  8.025291983746e-05	  1.627985686743e-04	  2.103798716716e-03	  6.422771992898e+01	  3.708635244146e-03	  3.095155974008e+01	  1.377874528574e+02	  1.328234556479e+02	  8.049411989852e-01	  6.937796625536e-11	  2.046754004548e+00	  1.019949988761e+00	
  2.600000000000e+01	  8.434551260860e+00	  1.932297013674e-02	  3.215111839634e-02	  4.483103423505e-02	  8.834470475367e-04	  0.000000000000e+00	  5.432164324574e-04	  8.344143261357e-05	  1.691755940867e-04	  2.103798719014e-03	  6.422771993236e+01	  3.708635244128e-03	  3.095155974004e+01	  1.377874528540e+02	  1.328234556446e+02	  8.049411990064e-01	  6.937796625718e-11	  2.046754004449e+00	  1.019949988761e+00	
  2.700000000000e+01	  8.434551260849e+00	  1.929598420379e-02	  3.215077725011e-02	  4.482881056705e-02	  9.384002894858e-04	  0.000000000000e+00	  5.753320045951e-04	  8.662740281189e-05	  1.755475344345e-04	  2.103798721306e-03	  6.422771993573e+01	  3.708635244110e-03	  3.095155974001e+01	  1.377874528506e+02	  1.328234556412e+02	  8.049411990275e-01	  6.937796625900e-11	  2.046754004349e+00	  1.019949988761e+00	
  2.800000000000e+01	  8.434551260838e+00	  1.926902353332e-02	  3.215043610631e-02	  4.482658697295e-02	  9.933078625321e-04	  0.000000000000e+00	  6.074221615729e-04	  8.981083164635e-05	  1.819143921197e-04	  2.103798723592e-03	  6.422771993909e+01	  3.708635244092e-03	  3.095155973998e+01	  1.377874528472e+02	  1.328234556379e+02	  8.049411990485e-01	  6.937796626081e-11	  2.046754004249e+00	  1.019949988761e+00	
  2.900000000000e+01	  8.434551260827e+00	  1.924208811333e-02	  3.215009496493e-02	  4.482436345275e-02	  1.048169788291e-03	  0.000000000000e+00	  6.394869154001e-04	  9.299172040069e-05	  1.882761695441e-04	  2.103798725872e-03	  6.422771994244e+01	  3.708635244075e-03	  3.095155973994e+01	  1.377874528439e+02	  1.328234556346e+02	  8.049411990695e-01	  6.937796626262e-11	  2.046754004150e+00	  1.019949988761e+00	
  3.000000000000e+01	  8.434551260816e+00	  1.921517793181e-02	  3.214975382597e-02	  4.482214000644e-02	  1.102986088377e-03	  0.000000000000e+00	  6.715262780854e-04	  9.617007021533e-05	  1.946328691093e-04	  2.103798728146e-03	  6.422771994578e+01	  3.708635244057e-03	  3.095155973991e+01	  1.377874528405e+02	  1.328234556313e+02	  8.049411990904e-01	  6.937796626442e-11	  2.046754004051e+00	  1.019949988761e+00	
  3.100000000000e+01	  8.434551260805e+00	  1.918829297676e-02	  3.214941268944e-02	  4.481991663404e-02	  1.157756784404e-03	  0.000000000000e+00	  7.035402616377e-04	  9.934588228638e-05	  2.009844932173e-04	  2.103798730415e-03	  6.422771994912e+01	  3.708635244039e-03	  3.095155973988e+01	  1.377874528371e+02	  1.328234556281e+02	  8.049411991113e-01	  6.937796626622e-11	  2.046754003953e+00	  1.019949988761e+00	
