               shift	                cell	              time_d	                  pH	             Olivine	           Enstatite	           Lizardite	           Magnesite	            Siderite	            Dolomite	       Rhodochrosite	                  Mg	                  Fe	                  Si	                   C	                HCO3	              MgHCO3	              FeHCO3	                 CO3	               CO2aq	          alkalinity	
  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  5.500000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	 -3.165729598675e-03	
  0.000000000000e+00	  1.000000000000e+00	  0.000000000000e+00	  5.500000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	 -3.165729598675e-03	
  1.000000000000e+00	  0.000000000000e+00	  1.500000000000e+01	  8.301553948886e+00	  2.003377754944e-02	  3.215993628002e-02	  4.488937152045e-02	  0.000000000000e+00	  0.000000000000e+00	  1.868536208058e-03	  0.000000000000e+00	  3.144132422148e+01	  3.762691735891e-04	  7.606933885322e-01	  1.231051248278e+02	  1.197012019306e+02	  3.474205091122e-01	  1.070463209385e-11	  9.463606977122e-01	  1.588926908919e+00	  1.230110573160e+00	
  2.000000000000e+00	  0.000000000000e+00	  3.000000000000e+01	  8.301753092492e+00	  2.002755689983e-02	  3.215987256079e-02	  4.488874312626e-02	  0.000000000000e+00	  0.000000000000e+00	  1.875067975590e-03	  0.000000000000e+00	  3.208241394248e+01	  3.762753042658e-04	  1.521189886932e+00	  1.231946459541e+02	  1.197575332183e+02	  3.546512325062e-01	  1.513517170255e-11	  9.472746732478e-01	  1.588926657142e+00	  1.231380289069e+00	
  3.000000000000e+00	  0.000000000000e+00	  4.500000000000e+01	  8.301980002585e+00	  2.002133826553e-02	  3.215980884261e-02	  4.488811485113e-02	  0.000000000000e+00	  0.000000000000e+00	  1.881498447052e-03	  2.388925302487e-07	  3.273323986951e+01	  3.762822611225e-04	  2.281461262911e+00	  1.232834747505e+02	  1.198217305088e+02	  3.620166587245e-01	  1.752837972492e-11	  9.483164516357e-01	  1.588926374155e+00	  1.232569075875e+00	
  4.000000000000e+00	  0.000000000000e+00	  6.000000000000e+01	  8.302190942403e+00	  2.001512162002e-02	  3.215974512543e-02	  4.488748669099e-02	  0.000000000000e+00	  0.000000000000e+00	  1.887769203151e-03	  9.953648806334e-07	  3.339964981064e+01	  3.762887299693e-04	  3.041510989147e+00	  1.233485407060e+02	  1.198814758516e+02	  3.695487903533e-01	  1.752010498960e-11	  9.492870778085e-01	  1.588926104692e+00	  1.233353354266e+00	
  5.000000000000e+00	  0.000000000000e+00	  7.500000000000e+01	  8.302467117945e+00	  2.000890702717e-02	  3.215968140935e-02	  4.488685865591e-02	  0.000000000000e+00	  0.000000000000e+00	  1.893988816559e-03	  1.751982951722e-06	  3.407077232124e+01	  3.762971863347e-04	  3.801330649912e+00	  1.234326655803e+02	  1.199596685977e+02	  3.771914591376e-01	  1.750926439957e-11	  9.505569038713e-01	  1.588925765562e+00	  1.234333412195e+00	
  6.000000000000e+00	  0.000000000000e+00	  9.000000000000e+01	  8.302808644436e+00	  2.000269470102e-02	  3.215961769464e-02	  4.488623077958e-02	  0.000000000000e+00	  0.000000000000e+00	  1.900156850665e-03	  2.508717883613e-06	  3.474660373506e+01	  3.763076508201e-04	  4.560892051463e+00	  1.235359223920e+02	  1.200563777681e+02	  3.849479603138e-01	  1.749585825151e-11	  9.521276681917e-01	  1.588925356480e+00	  1.235510050967e+00	
  7.000000000000e+00	  0.000000000000e+00	  1.050000000000e+02	  8.303215674938e+00	  1.999648485568e-02	  3.215955398160e-02	  4.488560309568e-02	  0.000000000000e+00	  0.000000000000e+00	  1.906272815485e-03	  3.265540682705e-06	  3.542714571509e+01	  3.763201492811e-04	  5.320166994795e+00	  1.236584046369e+02	  1.201716918455e+02	  3.928217575279e-01	  1.747988650805e-11	  9.540015746461e-01	  1.588924877087e+00	  1.236884285438e+00	
  8.000000000000e+00	  0.000000000000e+00	  1.200000000000e+02	  8.303688399656e+00	  1.999027770533e-02	  3.215949027051e-02	  4.488497563790e-02	  0.000000000000e+00	  0.000000000000e+00	  1.912336167658e-03	  4.022422310096e-06	  3.611240523758e+01	  3.763347128634e-04	  6.079127266440e+00	  1.238002262438e+02	  1.203057187243e+02	  4.008164879481e-01	  1.746134883530e-11	  9.561812955361e-01	  1.588924326949e+00	  1.238457343695e+00	
  9.000000000000e+00	  0.000000000000e+00	  1.350000000000e+02	  8.304227045114e+00	  1.998407346435e-02	  3.215942656166e-02	  4.488434843997e-02	  0.000000000000e+00	  0.000000000000e+00	  1.918346310463e-03	  4.779333519621e-06	  3.680239457593e+01	  3.763513780458e-04	  6.837744629643e+00	  1.239615215282e+02	  1.204585856547e+02	  4.089359675333e-01	  1.744024464773e-11	  9.586699752121e-01	  1.588923705555e+00	  1.240230666735e+00	
